,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
1,1277,I have to go to sleep.,Ik moet gaan slapen.,Minun täytyy mennä nukkumaan. | Minun on mentävä nukkumaan. | Minun pitää mennä nukkumaan.,Je dois aller dormir. | Il faut que j'aille dormir.,Ich muss jetzt schlafen. | Ich muss schlafen.,אני צריך ללכת לישון. | אני מוכרח ללכת לישון.,Aludni kell mennem. | Mennem kell aludni. | Le kell feküdnöm.,Devo andare a dormire. | Io devo andare a dormire.,私は眠らなければなりません。 | そろそろ寝なくちゃ。 | 寝なきゃ。,我该去睡觉了。 | 我必须睡了。,Muszę iść spać.,Preciso ir dormir. | Tenho que ir dormir. | Preciso dormir. | Tenho de dormir. | Tenho de ir para cama. | Eu tenho de ir dormir.,Мне пора идти спать. | Я должен ложиться спать. | Мне нужно идти спать. | Я должна ложиться спать.,Tengo que irme a dormir. | Voy a dormir. | Debo ir a dormir. | Tengo que ir a dormir.,Yatmaya gitmek zorundayım. | Uyumam lazım.,Маю піти спати. | Мені час йти спати. | Я маю йти спати.
3,1282,Muiriel is 20 now.,Muiriel is nu 20 jaar oud.,Muiriel on nyt kaksikymmentä. | Muiriel on nyt kaksikymmentävuotias. | Muiriel on nyt 20. | Muiriel on nyt kaksikymppinen. | Muiriel on nyt 20-vuotias. | Muiriel on nyt kaksikymmenvuotias. | Muiriel on nyt kaksikymmentä vuotta vanha. | Muiriel on nyt 20 vuotta vanha. | Nyt Muiriel on kaksikymmentävuotias. | Nyt Muiriel on kaksikymmentä. | Nyt Muiriel on 20 vuotta vanha. | Nyt Muiriel on kaksikymmentä vuotta vanha. | Nyt Muiriel on kaksikymmenvuotias. | Nyt Muiriel on 20-vuotias. | Nyt Muiriel on kaksikymppinen. | Nyt Muiriel on 20. | Muiriel on nyt kakskyt. | Nyt Muiriel on kakskyt. | Muiriel on nyt kakskytvuotias. | Nyt Muiriel on kakskytvuotias. | Muiriel on nyt kakskyt vuotta vanha. | Nyt Muiriel on kakskyt vuotta vanha. | Muiriel on ny 20. | Ny Muiriel on 20. | Ny Muiriel on kaksikymppinen. | Muiriel on ny kaksikymppinen. | Muiriel on ny kakskytvuotias. | Ny Muiriel on kakskytvuotias. | Muiriel on ny kakskyt vuotta vanha. | Ny Muiriel on kakskyt vuotta vanha. | Muiriel on ny 20-vuotias. | Ny Muiriel on 20-vuotias. | Muiriel on ny 20 vuotta vanha. | Ny Muiriel on 20 vuotta vanha. | Muiriel on ny kaksikymmenvuotias. | Ny Muiriel on kaksikymmenvuotias. | Ny Muiriel on kakskyt. | Muiriel on ny kakskyt. | Muiriel on ny parikymppinen. | Ny Muiriel on parikymppinen. | Muiriel on nyt parikymppinen. | Nyt Muiriel on parikymppinen.,Muiriel a 20 ans maintenant.,Muiriel ist jetzt 20.,מיוריאל בת 20 עכשיו. | מויריאל כיום בת עשרים.,Muriel immár 20 éves. | Muiriel most 20 éves. | Muiriel most lett húsz éves.,Muiriel ha 20 anni adesso. | Muiriel ha 20 anni ora. | Muiriel ha vent'anni ora. | Muiriel ha vent'anni adesso.,ムーリエルは２０歳になりました。 | 今、ムーリイエルは２０歳だ。,Muiriel现在20岁了。,Muiriel ma teraz 20 lat.,Muriel completou 20 anos. | Muiriel tem 20 anos agora. | Agora Muiriel tem 20 anos. | Muriel tem 20 anos agora. | A Muriel está com 20 anos agora. | A Muiriel fez 20 anos agora.,Мюриэл сейчас 20.,"Ahora, Muiriel tiene 20 años. | Muiriel tiene 20 años ahora.",Muiriel şimdi 20 yaşında. | Muiriel şimdi 20.,Мюріел зараз двадцять. | Мюріел зараз двадцять років. | Мурієль зараз 20.
4,1283,"The password is ""Muiriel"".","Het wachtwoord is ""Muiriel"".","Salasana on ”Muiriel”. | Se salasana on ""Muiriel"".",Le mot de passe est « Muiriel ».,"Das Passwort ist ""Muiriel"". | Das Passwort lautet „Muiriel“. | Das Kennwort lautet „Muiriel“.","הסיסמה היא ""Muiriel"". | הסיסמה - ""מיוריאל"". | הסיסמה - ""Muiriel"".","A jelszó: Muiriel. | A jelszó ""Muriel"".","La parola d'accesso è ""Muiriel"". | La password è ""Muiriel"".",パスワードは「Muiriel」です。,"密码是""Muiriel""。 | 密碼是「Muiriel」。",Hasło brzmi „Muiriel”. | Hasło to „Muiriel”.,"A senha é ""Muiriel"". | A senha é ''Muiriel''.",Пароль «Muiriel».,"La contraseña es ""Muiriel"".","Şifre ""Muiriel"". | Parola ""Muiriel"". | Şifre "" Muiriel "" dir.","Пароль - ""Muiriel"". | Пароль — «Muiriel». | Пароль — «Мюріель»."
5,1284,I will be back soon.,Ik ben zo terug.,Palaan pian. | Tulen pian takaisin. | Minä palaan pian. | Minä tulen pian takaisin. | Tulen nopeasti takaisin. | Minä tulen nopeasti takaisin. | Tulen äkkiä takaisin. | Minä tulen äkkiä takaisin. | Mää tuun pian takas. | Mää tuun äkkiä takas. | Mää tuun nopeesti takas. | Mää palaan pian.,Je serai bientôt de retour. | Je serai de retour dans une minute. | Je reviens tout de suite. | Je reviens vite. | Je reviens de suite.,Ich werde bald zurück sein. | Bin gleich zurück. | Ich bin bald wieder da. | Ich bin bald zurück. | Ich komme bald wieder. | Ich komme bald zurück. | Ich komme bald wieder zurück. | Ich bin gleich wieder da! | Bin gleich wieder da!,מיד אשוב. | אשוב בקרוב. | אחזור בהקדם. | אני כבר חוזר.,Mindjárt visszajövök. | Nemsokára visszajövök. | Hamarosan visszajövök.,Torno subito. | Ritorno presto. | Ritornerò presto. | Tornerò presto. | Io tornerò presto. | Io ritornerò presto. | Sarò presto di ritorno. | Io sarò presto di ritorno.,すぐに戻ります。 | まもなく私は戻って来ます。 | すぐ戻ります。 | すぐ戻ってきます。 | すぐに戻るよ。 | すぐ戻る。,我很快就會回來。,Zaraz wracam. | Niedługo wrócę. | Zaraz wrócę.,Voltarei em breve. | Volto logo. | Já volto. | Volto já. | Voltarei logo. | Estarei de volta logo. | Eu voltarei em breve.,Я скоро вернусь. | Скоро вернусь. | Я скоро.,Volveré pronto. | Vuelvo en seguida. | Yo regresaré pronto.,Yakında geri döneceğim. | Yakında dönmüş olurum.,Я скоро повернуся. | Незабаром повернуся. | Я хутко повернусь. | Скоро повернуся. | Я зараз повернуся.
6,1286,I'm at a loss for words.,Ik heb er geen woorden voor. | Woorden schieten me tekort.,En löydä sanoja. | En tiedä mitä sanoisin. | Menin sanattomaksi. | Olen sanaton. | Minä en löydä sanoja. | Minä olen sanaton. | Minä menin sanattomaksi. | Minä en tiedä mitä sanoisin. | En tiedä mitä sanoa. | Minä en tiedä mitä sanoa. | Minä en tiedä mitä minä sanoisin. | En tiedä mitä minä sanoisin.,J'en perds mes mots. | Les mots me manquent. | Je ne trouve pas les mots. | Les mots me font défaut.,"Ich finde keine Worte. | Mir fehlen die Worte. | Ich weiß nicht, was ich sagen soll. | Ich bin sprachlos.",אין לי מילים. | לא יודע מה לומר. | אני לא יודעת מה לומר. | אני לא יודע מה לומר. | אינני יודע מה לומר.,Nem találok szavakat. | Szóhoz sem jutok.,Sono a corto di parole. | Sono senza parole. | Io sono senza parole.,何と言ったら良いか分かりません。 | 私は言葉に詰まった。 | 私は言葉を失った。,我不知道應該說什麼才好。,Brak mi słów.,Não tenho palavras.,У меня нет слов. | Я не могу подобрать слов.,No tengo palabras. | No sé qué decir. | Me faltan las palabras.,Diyecek söz bulamıyorum. | Söyleyecek söz bulamıyorum. | Ne diyeceğimi bilemiyorum.,"Мені бракує слів. | Я не знаю, що і сказати. | Не можу знайти слів. | Я навіть не знаю, що сказати... | Я не знаю, що сказати..."
7,1287,This is never going to end.,Hier komt nooit een eind aan. | Dit zal nooit eindigen.,Tämä ei lopu ikinä. | Tämä ei tule koskaan loppumaan. | Tämä ei lopu koskaan. | Tämä ei pääty koskaan.,Ça ne va jamais finir. | Ça n'en finira jamais. | Ça n'en finit plus.,Das wird nie enden. | Es nimmt kein Ende. | Das hört nie auf! | Das hört nie auf.,זה לא ייגמר לעולם.,Ennek soha sem lesz vége. | Ennek soha nem lesz vége. | Ez soha nem ér véget. | Ennek sosem lesz vége.,Questo non finirà mai. | Ciò non finirà mai.,きりがない。,這個永遠完不了了。 | 这将永远继续下去。 | 這個永遠結束不了。,To nigdy się nie skończy.,Isso nunca acaba. | Isso nunca vai ter fim. | Isso não vai acabar nunca. | Isso não acabará nunca. | Isso nunca acabará. | Isso nunca vai acabar.,Это никогда не закончится. | Это никогда не кончится.,Esto no acabará nunca. | Esto nunca va a terminar. | Esto no va a acabar nunca. | Esto no terminará jamás.,Bu sonuna kadar asla gitmez. | Bu asla bitmeyecek.,Це ніколи не скінчиться.
8,1288,I just don't know what to say.,Ik weet gewoon niet wat ik moet zeggen... | Ik weet eenvoudig niet wat te zeggen...,En oikein tiedä mitä sanoa. | En tiedä yhtään mitä sanoa. | Minä en tiedä mitä sanoisin.,"Je ne sais simplement pas quoi dire... | Je ne sais pas quoi dire, tout simplement. | Je ne sais quoi dire. | Je ne sais pas quoi dire.","Ich weiß einfach nicht, was ich sagen soll.",לא יודע מה לומר. | אני פשוט לא יודע מה לומר. | אני פשוט לא יודעת מה לומר.,"Csak nem tudom, mit mondjak. | Nem tudom, mit mondjak.",Non so proprio cosa dire. | Semplicemente non so che dire. | Semplicemente non so che cosa dire. | Semplicemente non so cosa dire. | Non so semplicemente cosa dire.,何と言ったらいいか・・・。 | 何とも言いようがないなあ。,我只是不知道應該說什麼而已…… | 我就是不知道說些什麼。,"Po prostu nie wiem, co powiedzieć. | Zwyczajnie nie wiem, co powiedzieć...",Eu simplesmente não sei o que dizer... | Simplesmente não sei o que dizer.,"Не знаю, что и сказать. | Я даже не знаю, что сказать... | Я просто не знаю, что сказать.",Simplemente no sé qué decir... | Simplemente no sé qué decir. | Sencillamente no sé qué decir. | No sé qué decir.,"Henüz ne diyeceğimi bilmiyorum. | Ben, henüz ne söyleyeceğimi bilmiyorum. | Sadece ne diyeceğimi bilmiyorum.","Я просто і не знаю, що сказати. | Я не знаю, що і сказати. | Я навіть не знаю, що сказати..."
10,1290,I was in the mountains.,Ik was in de bergen.,Olin vuorilla. | Minä olin vuorilla.,J'étais dans les montagnes. | Je me trouvais dans les montagnes. | J'étais à la montagne.,Ich war in den Bergen.,הייתי בהרים. | שהיתי בהרים. | אני הייתי בהרים.,A hegyekben voltam. | A hegyekben jártam. | A hegyek közt voltam.,Ero in montagna. | Io ero in montagna.,私は山にいました。,我以前在山里。,Byłem w górach.,Eu estava nas montanhas.,Я был в горах. | Я была в горах.,Yo estaba en las montañas.,Ben dağlardaydım.,Я був у горах. | Я була в горах.
11,1291,Is it a recent picture?,Is dit een recente foto?,Onko se tuore kuva? | Onko se uusi valokuva?,Est-ce que c'est une photo récente ? | Est-ce une photo récente ?,Ist das ein aktuelles Foto?,זו תמונה חדשה?,Ez egy mostani kép? | Ez egy újabb kép?,È una foto recente? | È una fotografia recente? | È un'immagine recente?,それは最近の写真？,那是一张近照吗？,Czy to aktualne zdjęcie?,É uma foto recente?,Это новая фотография? | Это недавняя фотография? | Это свежая фотография?,¿Es una foto reciente?,O yeni bir resim mi? | Bu yeni çekilmiş bir resim mi? | Bu fotoğraf yeni çekim mi?,Це недавнє фото?
12,1292,I don't know if I have the time.,Ik weet niet of ik tijd heb. | Ik weet niet of ik daar tijd voor heb.,En tiedä onko minulla siihen aikaa. | En tiedä onko minulla aikaa.,Je ne sais pas si j'ai le temps.,"Ich weiß nicht, ob ich Zeit dazu habe. | Ich weiß nicht, ob ich Zeit habe. | Ich weiß nicht, ob ich die Zeit habe.",אני לא יודעת אם יש לי זמן. | אני לא יודע אם יש לי זמן לכך. | אני לא יודע אם יש לי זמן. | אני לא יודעת אם יש לי זמן לכך. | אינני יודע אם יש לי זמן.,"Nem tudom, hogy lesz-e időm.",Non so se ho tempo.,時間があるか分かりません。,我不知道我有沒有時間。,"Nie wiem, czy mam czas.",Não sei se tenho tempo.,"Я не знаю, есть ли у меня время. | Не знаю, будет ли у меня время.",No sé si tengo tiempo.,Zamanım olup olmadığını bilmiyorum.,"Не знаю, чи буде в мене час. | Я не знаю, чи буде в мене час. | Не знаю, чи матиму час. | Я не знаю, чи маю час. | Я не знаю, чи буде у мене час."
