,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
1,1277,I have to go to sleep.,我该去睡觉了。,Ik moet gaan slapen.,Minun täytyy mennä nukkumaan.,Je dois aller dormir.,Ich muss jetzt schlafen.,אני צריך ללכת לישון.,Aludni kell mennem.,Devo andare a dormire.,私は眠らなければなりません。,Muszę iść spać.,Мне пора идти спать.,Tengo que irme a dormir.,Yatmaya gitmek zorundayım.,Маю піти спати.
3,1282,Muiriel is 20 now.,Muiriel现在20岁了。,Muiriel is nu 20 jaar oud.,Muiriel on nyt kaksikymmentä.,Muiriel a 20 ans maintenant.,Muiriel ist jetzt 20.,מיוריאל בת 20 עכשיו.,Muriel immár 20 éves.,Muiriel ha 20 anni adesso.,ムーリエルは２０歳になりました。,Muiriel ma teraz 20 lat.,Мюриэл сейчас 20.,"Ahora, Muiriel tiene 20 años.",Muiriel şimdi 20 yaşında.,Мюріел зараз двадцять.
4,1283,"The password is ""Muiriel"".","密码是""Muiriel""。","Het wachtwoord is ""Muiriel"".",Salasana on ”Muiriel”.,Le mot de passe est « Muiriel ».,"Das Passwort ist ""Muiriel"".","הסיסמה היא ""Muiriel"".",A jelszó: Muiriel.,"La parola d'accesso è ""Muiriel"".",パスワードは「Muiriel」です。,Hasło brzmi „Muiriel”.,Пароль «Muiriel».,"La contraseña es ""Muiriel"".","Şifre ""Muiriel"".","Пароль - ""Muiriel""."
5,1284,I will be back soon.,我很快就會回來。,Ik ben zo terug.,Palaan pian.,Je serai bientôt de retour.,Ich werde bald zurück sein.,מיד אשוב.,Mindjárt visszajövök.,Torno subito.,すぐに戻ります。,Zaraz wracam.,Я скоро вернусь.,Volveré pronto.,Yakında geri döneceğim.,Я скоро повернуся.
6,1286,I'm at a loss for words.,我不知道應該說什麼才好。,Ik heb er geen woorden voor.,En löydä sanoja.,J'en perds mes mots.,Ich finde keine Worte.,אין לי מילים.,Nem találok szavakat.,Sono a corto di parole.,何と言ったら良いか分かりません。,Brak mi słów.,У меня нет слов.,No tengo palabras.,Diyecek söz bulamıyorum.,Мені бракує слів.
7,1287,This is never going to end.,這個永遠完不了了。,Hier komt nooit een eind aan.,Tämä ei lopu ikinä.,Ça ne va jamais finir.,Das wird nie enden.,זה לא ייגמר לעולם.,Ennek soha sem lesz vége.,Questo non finirà mai.,きりがない。,To nigdy się nie skończy.,Это никогда не закончится.,Esto no acabará nunca.,Bu sonuna kadar asla gitmez.,Це ніколи не скінчиться.
8,1288,I just don't know what to say.,我只是不知道應該說什麼而已……,Ik weet gewoon niet wat ik moet zeggen...,En oikein tiedä mitä sanoa.,Je ne sais simplement pas quoi dire...,"Ich weiß einfach nicht, was ich sagen soll.",לא יודע מה לומר.,"Csak nem tudom, mit mondjak.",Non so proprio cosa dire.,何と言ったらいいか・・・。,"Po prostu nie wiem, co powiedzieć.","Не знаю, что и сказать.",Simplemente no sé qué decir...,Henüz ne diyeceğimi bilmiyorum.,"Я просто і не знаю, що сказати."
10,1290,I was in the mountains.,我以前在山里。,Ik was in de bergen.,Olin vuorilla.,J'étais dans les montagnes.,Ich war in den Bergen.,הייתי בהרים.,A hegyekben voltam.,Ero in montagna.,私は山にいました。,Byłem w górach.,Я был в горах.,Yo estaba en las montañas.,Ben dağlardaydım.,Я був у горах.
11,1291,Is it a recent picture?,那是一张近照吗？,Is dit een recente foto?,Onko se tuore kuva?,Est-ce que c'est une photo récente ?,Ist das ein aktuelles Foto?,זו תמונה חדשה?,Ez egy mostani kép?,È una foto recente?,それは最近の写真？,Czy to aktualne zdjęcie?,Это новая фотография?,¿Es una foto reciente?,O yeni bir resim mi?,Це недавнє фото?
12,1292,I don't know if I have the time.,我不知道我有沒有時間。,Ik weet niet of ik tijd heb.,En tiedä onko minulla siihen aikaa.,Je ne sais pas si j'ai le temps.,"Ich weiß nicht, ob ich Zeit dazu habe.",אני לא יודעת אם יש לי זמן.,"Nem tudom, hogy lesz-e időm.",Non so se ho tempo.,時間があるか分かりません。,"Nie wiem, czy mam czas.","Я не знаю, есть ли у меня время.",No sé si tengo tiempo.,Zamanım olup olmadığını bilmiyorum.,"Не знаю, чи буде в мене час."
