,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,I had to go to sleep.,I have to go to sleep.,I have to go to sleep.,I have to go to sleep.,I have to sleep now.,I have to go to sleep.,I have to go to sleep.,I have to sleep.,I have to go to sleep.,It is time to go to sleep.,I have to go to sleep.,I have to go to bed.,I have to go to sleep.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is now 20 years old.,The mural is twenty.,Muiriel is now 20 years old.,Muiriel is 20.,Miriam is now 20 years old.,Muiriel is now 20 years old.,Muriel was 20 years old.,Muiriel is now 20 years old.,Mourinho is 20.,"Now, Muiriel is 20 years old.",Muiriel is now 20 years old.,Mourinho is twenty.
4,1283,"The password is ""Muiriel"".",The password is “Muiriel”.,The password is “Muiriel”.,The password is “Murirel”.,The password is “muiriel”.,The password is “Muiriel”.,The password is “Muiriel”.,The word of access is “Muiriel”.,The password is “Muiriel”.,The slogan is “Muiriel”.,The password of Muiriel.,The password is “Muiriel”.,The word “muiriel”.,The password is “Muiriel”.
5,1284,I will be back soon.,I will soon come back.,I am so back.,Return soon.,I will be back soon.,I will be back soon.,I will immediately return.,I return immediately.,I will return soon.,I immediately return.,I will soon return.,I will return soon.,I will return soon.,I will soon return.
6,1286,I'm at a loss for words.,I don’t know what to say.,I have no words for it.,I can’t find words.,I lose my words.,I find no words.,I have no words.,I am short of words.,I don't know what to say.,I lack words.,I have no words.,I have no words.,I can’t find a word to say.,I miss words.
7,1287,This is never going to end.,This will not end forever.,There is never a end here.,This never ends.,It will never end.,It will never end.,It will never end.,This will never end.,Only not.,It will never end.,It will never end.,This will never end.,It never goes until the end.,It will never end.
8,1288,I just don't know what to say.,I just don’t know what to say...,I just don’t know what to say...,I really don’t know what to say.,I just don’t know what to say...,I just don’t know what to say.,I don’t know what to say.,I don’t know exactly what to say.,What to say...,I just don’t know what to say.,I don’t know what to say.,I just don’t know what to say...,I don’t know what to say yet.,I just don’t know what to say.
10,1290,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountain.,I was on the mountain.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.
11,1291,Is it a recent picture?,Is that a near picture?,Is this a recent photo?,Is it a fresh picture?,Is this a recent photo?,Is this an current photo?,Is it a new picture?,Is this a recent photo?,Is that the last photo?,Is this the current picture?,Is this a new photo?,Is this a recent photo?,Is it a new picture?,This is the last photo?
12,1292,I don't know if I have the time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time for that.,I don’t know if I have time.,I don’t know if I have time to do it.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I have time.,I don’t know if I’ll have time.
