,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,I have to go to sleep.,I'm going to bed.,I have to go to bed.,I have to go to bed.,Lo egin behar dut.,Je dois aller me coucher.,I have to go to bed.,자야 돼,I have to go to bed.,I'm going to bed.,I have to go to bed.,I have to go to bed.,Lo egin behar dut.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is 20 years old now.,Muiriel is 20 now.,Muiriel is 20 now.,Muiriel is 20 now.,Muriel a maintenant 20 ans.,Muiriel 20 urte ditu orain.,무릴은 20살이 됐습니다.,Muiriel is 20 now.,Muriel is 20.,"Now, Muiriel is 20 years old.",Muiriel is 20 now.,Muriel nun estas dudekjara.
4,1283,"The password is ""Muiriel"".","The password is ""Muiriel"".","Pasahitza ""Muiriel"" da.","The password is ""Death"".",The password is  Muiriel.,"Pasahitza ""Muiriel"" da.","Le mot de passe est ""Muiriel"".","The password is ""Muiriel"".","비밀번호는 ""무리엘""입니다.","The password is ""Muiriel"".",Пароль Muiriel.,"The password is ""Muiriel"".","The code is ""Muiriel"".","""Muiriel"" hitza da."
5,1284,I will be back soon.,I'll be back soon.,Berehala itzuliko naiz.,Laster itzuliko naiz.,I'll be back soon.,Mi baldaŭ revenos.,Je reviendrai tout de suite.,Berehala itzuliko naiz.,곧 돌아올게요,I'll be right back.,Laster itzuliko naiz.,Laster itzuliko naiz.,I'll be back soon.,Mi baldaŭ revenos.
6,1286,I'm at a loss for words.,I don't know what to say.,I don't have the words.,Ez dut hitzik aurkitzen.,I'm losing my temper.,Ez dut hitzik aurkitzen.,Je n'ai pas les mots.,I'm short on words.,제가 무슨 말을 해야 할지 모르겠어요.,Ez dut hitzik.,Ez dut hitzik.,Ez daukat hitzik.,I can't think of a word to say.,Al mi mankas vortoj.
7,1287,This is never going to end.,This is never over.,This is never gonna end.,This is never gonna end.,It's never going to end.,Ez da inoiz amaituko.,Cela ne cessera jamais.,This is never gonna end.,- 안 돼,This is never gonna end.,It's never going to end.,This is never gonna end.,It's never going to go away.,Ez da inoiz amaituko.
8,1288,I just don't know what to say.,I just don't know what to say...,I just don't know what to say...,I don't know what to say.,I just don't know what to say...,I just don't know what to say.,Je ne sais pas quoi dire.,I don't know what to say.,무슨 말을 해야 할지 모르겠어요,I just don't know what to say.,I don't know what to say.,I just don't know what to say...,I don't know what to say yet.,I just don't know what to say.
10,1290,I was in the mountains.,I used to be in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,Mendian izan nintzen.,Yo estaba en las montañas.,I was in the mountains.,Mi estis en la monto.,I was in the mountains.,I was in the mountains.,I was in the mountains.,I was in the mountains.,Mi estis en la montoj.
11,1291,Is it a recent picture?,Is that a close-up?,Ĉu tiu ĉi estas lasta foto?,Is that a recent picture?,D taẓuri i d-yeffɣen tura?,Ĉu tio estas aktuala foto?,Est-ce une nouvelle photo?,Is that a recent photo?,-Aurrezko argazkia da?,Is this a current photo?,Is this the new photo?,Is that a recent photo?,Is that a new picture?,Ĉu tiu estas la lasta foto?
12,1292,I don't know if I have the time.,I don't know if I have time.,I don't know if I have time.,I don't know if I have time for that.,I don't know if I have time.,"Mi ne scias, ĉu mi havas tempon por tio.",Je ne sais pas si j'ai le temps.,I don't know if I have time.,시간이 있는지 모르겠어요.,I don't know if I have time.,"Mi ne scias, ĉu mi havas tempon.",I don't know if I have time.,I don't know if I have time.,I don't know if I'll have time.
14,1295,You're in better shape than I am.,You're better than me.,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,Vi estas pli bone en formo ol mi.,Tu es en meilleure forme que moi.,You're in better shape than me.,넌 나보다 더 좋은 위치에 있어,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,Vi estas pli bone formita ol mi.
15,1296,You are in my way.,You're blocking my path.,You're in the way.,You're in my way.,You're in my way.,"-Ez, ez. -Ez, ez.",You're bothering me!,You're on my side.,넌 내 걸 방해해,You're in my way.,You're in my way.,You're in my way.,You're in my way.,You're in my way.
16,1298,This will cost €30.,This one costs 30 euros.,That's going to cost 30 euros.,This will cost 30 euros.,It'll cost you 30 euros.,Tio kostos 30 eŭrojn.,Cela coûtera 30 €.,Tio kostos tridek eŭrojn.,이 모든 것이,It 'll cost 30 euros.,Tio kostos 30 eŭrojn.,That's going to cost 30 euros.,It's going to cost 30 euros.,Tio kostos 30 eŭrojn.
17,1299,I make €100 a day.,I earn 100 euros a day.,Mi gajnas 100 eŭrojn tage.,Egunean 100 euro irabazten ditut.,I make 100 euros a day.,Mi gajnas 100 eŭrojn tage.,Je gagne 100 € par jour.,Mi gajnas 100 eŭrojn tage.,Mi gajnas 100 eŭrojn tage.,I make 100 euros a day.,Mi gajnas cent eŭrojn tage.,Mi gajnas 100 eŭrojn tage.,I make 100 euros a day.,Mi gajnas 100 eŭrojn tage.
20,1302,That won't happen.,That's not going to happen.,That's not gonna happen.,It's not gonna happen.,It's not gonna happen.,Ez da gertatuko.,Ce n'est pas possible.,That's not gonna happen.,이런 일이 일어나지 않을 겁니다.,That's not gonna happen.,That's not gonna happen.,That's not gonna happen.,It won't be.,Ez da gertatuko.
22,1304,I'll do my best not to disturb your studying.,I'll try not to disturb your review.,Mi provos ne ĝeni vin pri la lernado.,I'm trying my best not to interrupt your studies.,I'll do my best not to disturb your revisions.,Mi klopodos ne ĝeni vin pri lernado.,Je ferai tout pour ne pas vous déranger à l'étude.,I'll do my best not to disturb your study.,저는 여러분들의 공부를 방해하지 않도록 노력하겠습니다.,I'll try not to disturb your study.,Mi provos ne ĝeni vin pri via studo.,Mi klopodos ne ĝeni vin en viaj studoj.,I'll do my best not to interrupt your work.,Mi faros ĉion eblan por ne ĝeni vin lerni.
25,1308,I miss you.,I miss you.,Faltan botatzen zaitut.,Zure falta sumatzen dut.,Zure falta sumatzen dut.,Faltan botatzen zaitut.,Tu me manques.,Zure falta sumatzen dut.,Asko sentitzen dut zu ikustea.,I miss you. I miss you.,Zure falta sumatzen dut.,Faltan botatzen zaitut.,I missed you.,Zure falta sumatzen dut.
26,1309,I'll call them tomorrow when I come back.,I'll contact them when I get back tomorrow.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,"Morgaŭ, kiam mi revenos, mi telefonos al ŝi.",Je les appellerai demain quand je serai de retour.,"Mi telefonos al ili morgaŭ, kiam mi revenos.",Bihar etxera heltzean deituko dizut.,I'll call them when I get back tomorrow.,"Mi telefonos al ili morgaŭ, kiam mi revenos hejmen.",I'll call you when I get back tomorrow.,I'll call them when I get back tomorrow.,"Mi telefonos al ili morgaŭ, kiam mi revenos."
28,1311,You should sleep.,You should go to sleep.,You should sleep.,You should go to sleep.,You should get some sleep.,Lo egin beharko zenuke.,Tu dois dormir.,You should sleep.,Lo egin beharko zenuke.,You should sleep.,You better get some sleep.,You should sleep.,You need to sleep.,Vi prefere dormu.
29,1312,I'm going to go.,I'm going to go.,Joan beharra dut.,I'm going to go.,I'm going to go.,Joan beharra dut.,Je vais y aller.,Joan beharra dut.,Joan beharra dut.,I'm going to go.,Joan egingo naiz.,Joan egingo naiz.,I'm going to go.,Joan egingo naiz.
30,1313,I told them to send me another ticket.,I asked them to send me another ticket.,I told them to send me a new ticket.,I told them they'd send me another ticket.,I told them to send me another ticket.,"Mi diris al ili, ke ili sendu al mi novan bileton.",Je leur ai demandé de m'envoyer une autre carte.,I told them to send me another ticket.,Mi petis ilin sendi al ili plian bileton.,I told them to send me another ticket.,Mi diris al ili sendi al mi alian bileton.,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I used to think I'd be a space physicist.,Iam mi volis iĝi astrofizikisto.,I used to want to be an astrophysicist.,There was a time when I wanted to be an astrophysicist.,Mi iam volis iĝi astrofizikisto.,"À l'époque, je voulais être astrophysicien.",I once wanted to be an astrophysicist.,저는 천체 물리학자 되고 싶었습니다.,I used to want to be an astrophysicist.,Iam mi volis esti astrofizikisto.,I once wanted to be an astrophysicist.,I once wanted to be an astrophysicist.,Mi iam volis esti astrofizikisto.
34,1317,I never liked biology.,I never liked biology.,Mi neniam ŝatis biologion.,Ez zait inoiz biologiaren kontua gustatu.,Werǧin ḥemmleɣ tamsalt.,Mi neniam ŝatis biologion.,Je n'ai jamais aimé la biologie.,Mi neniam ŝatis biologion.,생물학은 별로 좋아하지 않습니다.,I never liked biology.,Mi neniam ŝatis biologion.,Mi neniam ŝatis biologion.,Mi neniam ŝatis biologion.,Mi neniam ŝatis biologion.
35,1318,The last person I told my idea to thought I was nuts.,The last person who heard me say what I thought was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to was someone who thought I was crazy.,"Win i d-nniɣ taggara i d-nniɣ tikti-w, yeqqar-as d axemmem-iw.",The last person I told my idea thought I was knocked out.,La dernière personne à qui j'ai parlé de mon idée a pensé que j'étais fou.,The last person I told my idea thought I was crazy.,제가 마지막으로 제 생각을 했던 사람은 제가 미친 사람이라고 생각했지요.,The last person I told about my idea thought I was crazy.,The last person I told my idea to thought I was crazy.,"La lasta persono, al kiu mi rakontis mian ideon, pensis, ke mi frenezas.",The last person I ever told my opinion thought I was crazy.,Nire ideia kontatu nion azken pertsonak erotu egin nintzela pentsatu zuen.
37,1320,It is unfortunately true.,It's too bad it's true.,"Unfortunately, it is true.","I'm sorry, but that's not true.","Unfortunately, that's true.","Unfortunately, it is true.","Malheureusement, c'est vrai.",It's unfortunately true.,"하지만 불행히도, 그건 사실입니다.","Unfortunately, that's not true.","Unfortunately, that's true.","Unfortunately, it is true.",That's unfortunately true.,"Bedaŭrinde, tio estas vera."
39,1322,Most people think I'm crazy.,Most people think I'm crazy.,"La plej multaj homoj pensas, ke mi estas freneza.",Most people think I'm crazy.,Aṭas n medden i ɣ-d-inin d axemmem.,"La plej multaj homoj pensas, ke mi estas freneza.",La plupart des gens pensent que je suis fou.,"La plej multaj homoj pensas, ke mi estas freneza.",대부분의 사람들은 내가 미친다고 생각하죠.,Most people think I'm crazy.,"La plej multaj homoj pensas, ke mi estas freneza.","La plej multaj homoj pensas, ke mi frenezas.",A lot of people think I'm crazy.,La plej multaj homoj opinias min freneza.
42,1325,He's kicking me!,He's playing me!,Ostiko bat ematen dit!,Ostiko bat ematen dit!,He kicks me!,Oinez doa!,Il m'a frappé!,He's kicking me!,Ostiko bat ematen ari zait!,He's kicking my ass!,He's kicking my ass!,He's kicking me!,He's kicking me!,Oinez jotzen dit!
43,1326,Are you sure?,Are you sure?,- Are you sure? - Yes.,- Are you sure? - Yes.,Are you sure about that?,Ziur zaude?,Tu es sûr?,Are you sure?,- 그래?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Ĉu vi certas?
45,1328,"Oh, there's a butterfly!",Ho! Estas papilio!,"Ho, jen papilio!","-O, tximeleta bat dago!","Oh, there's a butterfly!","Ho, jen papilio!","Oh, voilà le papillon!","Oh, there's a butterfly!",나비들이 있어!,"Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly over there!","Oh, there's a butterfly!","Begira, tximeleta!"
46,1329,Hurry up.,Azkar!,Azkar!,Azkar.,Hurry up!,Azkar!,Dépêchez-vous!,Azkar!,빨리!,Azkar!,Azkar!,Azkar!,Azkar!,Azkarrago!
47,1330,It doesn't surprise me.,I'm not surprised.,Ez nau harritzen.,I'm not surprised.,I'm not surprised.,Ez nau harritzen.,Ce n'est pas une surprise pour moi.,Ez nau harritzen.,이 모든 것은 놀라운 일이 아닙니다.,I'm not surprised.,That's not surprising.,Ez nau harritzen.,He doesn't surprise me.,Ez da harritzekoa.
49,1333,It depends on the context.,It's a matter of time.,That depends on the context.,"Well, that depends on the context.",Depends on the context.,That depends on the context.,Ça dépend du contexte.,Depends on the context.,그 배경에 따라 달라집니다.,Depends on the context.,It depends on the context.,That depends on the context.,It depends on the connection.,Tio dependas de la kunteksto.
51,1335,That's the stupidest thing I've ever said.,That was the dumbest thing I ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,"Tio estas la plej stulta afero, kiun mi iam diris.",C'est la chose la plus stupide que j'ai jamais dit.,That's the stupidest thing I've ever said.,이런 바보같은 말을 한 적이 없어요,That's the dumbest thing I've ever said.,That's the dumbest thing I've ever said.,That's the stupidest thing I've ever said.,That's the dumbest thing I've ever said.,Inoiz esan dudan txorakeriarik handiena da.
