,index,english,translated_from_chinese,translated_from_dutch
1,1277,I have to go to sleep.,"I have to go to bed, I have to sleep.",I have to go to sleep.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is now 20 years old.
4,1283,"The password is ""Muiriel"".",The code is “Muiriel” and the code is “Muiriel”.,The password is “Muiriel”.
5,1284,I will be back soon.,I will soon come back.,I am so back.
6,1286,I'm at a loss for words.,I don’t know what to say.,I don’t have words for it. I miss words for it.
7,1287,This is never going to end.,This will not end forever; this will continue forever; this will not end forever.,"This will never end, this will never end."
8,1288,I just don't know what to say.,I just don’t know what to say... I just don’t know what to say.,I just don’t know what to say... I just don’t know what to say...
10,1290,I was in the mountains.,I was in the mountains.,I was in the mountains.
11,1291,Is it a recent picture?,Is that a near picture?,Is this a recent photo?
12,1292,I don't know if I have the time.,I don’t know if I have time.,"I don’t know if I have time, I don’t know if I have time."
14,1295,You're in better shape than I am.,Your body is better than me.,"You are in a better condition than me, you are in a better condition than me."
15,1296,You are in my way.,You stopped my way.,"You are in the way, you are in the way."
16,1298,This will cost €30.,It costs thirty euros.,It will cost €30.
17,1299,I make €100 a day.,"I earn a hundred euros a day, I earn a hundred euros a day.",I earn $100 per day.
20,1302,That won't happen.,That will not occur.,"That will not happen, that will not happen."
22,1304,I'll do my best not to disturb your studying.,I will try as much as possible not to bother you.,I will try not to bother you while learning. I will do my best not to bother you when studying.
25,1308,I miss you.,"I miss you, I miss you, I miss you, I miss you, I miss you.",I miss you.
26,1309,I'll call them tomorrow when I come back.,I will contact them when I come back tomorrow.,"I’ll call them tomorrow when I’m back, I’ll call them tomorrow when I’m back."
28,1311,You should sleep.,You should go to sleep.,"You should sleep, you should sleep better."
29,1312,I'm going to go.,I will go.,I go.
30,1313,I told them to send me another ticket.,I asked them to send me a ticket.,I told them they had to send me a new ticket. I told them they had to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I thought I was a space physicist.,I wanted to become an astrophysicist.
34,1317,I never liked biology.,I never liked biology.,I never loved biology.
35,1318,The last person I told my idea to thought I was nuts.,The last one who heard me saying my ideas thought I was crazy.,The previous person to whom I told my idea thought I was disturbed.
37,1320,It is unfortunately true.,Unfortunately this is true.,Unfortunately it is true.
39,1322,Most people think I'm crazy.,Most people think I’m crazy.,Most people think I’m crazy.
42,1325,He's kicking me!,He is striking me!,He shoots me!
43,1326,Are you sure?,Are you sure? <unk> Are you sure? <unk> Are you sure?,Do you know it? <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
45,1328,"Oh, there's a butterfly!",There is a butterfly!,Here is a flower!
46,1329,Hurry up.,Get fast! get fast! get fast! get fast! get fast!,"Shot up, Shot up, Shot up, Shot up, Shot up, Shot up!"
47,1330,It doesn't surprise me.,This does not surprise me.,It does not surprise me.
49,1333,It depends on the context.,"It depends on the situation, and it depends on the situation.",This depends on the context.
51,1335,That's the stupidest thing I've ever said.,"That’s the most stupid word I’ve ever said, and that’s the most stupid word I’ve ever said.",That’s the foolish thing I’ve ever said.
53,1337,"When I grow up, I want to be a king.",I want to be a king when I grow old.,"When I grow up, I want to be king."
56,1340,So what?,And then what?,And now? and now?
61,1345,I've always wondered what it'd be like to have siblings.,I always wondered what would be with brothers and sisters.,I have always wondered how it would be to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"Even if I say three days and three nights, I may not be able to explain everything clearly.",I need an eternity to explain everything I would have an eternity to explain everything.
64,1348,That's because you're a girl.,Because you are a girl.,That’s because you’re a girl.
79,1363,I thought you liked to learn new things.,I like to learn new things.,I thought you would like to learn new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.
82,1366,"In order to do that, you have to take risks.","To do that, you need to take a risk.","To do that, you have to take risks."
84,1368,Why do you ask?,What do you ask this?,Why do you ask it? - Why do you ask it? - Why do you ask it?
89,1373,How long did you stay?,How long did you stay? how long did you stay?,How long have you stayed?
95,1379,That is intriguing.,That is funny.,That makes curious.
102,1386,I didn't like it.,I didn’t like it.,I didn’t like it.
111,1395,I have to go to bed.,"I should go to bed, I should go to bed.",I have to go to bed. I have to go to bed.
118,1402,That wasn't my intention.,"That’s not my intention, that’s not my first intention, that’s not my intention.",That was not my intention.
119,1403,Thanks for your explanation.,Thank you for your explanation.,Thank you for the explanation.
