,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1,1277,I have to go to sleep.,I have to go to sleep. I have to go to sleep.,I'm going to bed.,Lo egin behar dut. Lo egin behar dut.,I have to go to sleep. I have to go to sleep.,I need to sleep now. I need to sleep.,Je dois aller me coucher.,I have to go to sleep. I have to go to sleep.,"자야 돼, 자야 돼, 자야 돼",I have to go to bed.,.مېنىڭ ئۇخلاش ۋاقتىم.مېنىڭ ئۇخلاش ۋاقتىم.مېنىڭ ئۇخلاش ۋاقتىم,I have to go to sleep. I'm going to sleep. I have to go to sleep.,I have to go to bed. I need to sleep.,Mi devas enlitiĝi. Mi devas enlitiĝi.
3,1282,Muiriel is 20 now.,Muiriel is now 20 years old.,Muiriel is 20 years old now.,Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiriel nun aĝas 20. Muiri,Muiriel is 20 now.,Muiriel is 20 now.,"Muriel a maintenant 20 ans. ""Muriel est aujourd'hui âgé de 20 ans.",.مۇرىيال ئەمدى 20 ياشقا كىردى.مۇرىيال ئەمدى 20 ياشقا كىردى,무리얼은 20살이 됐습니다.,Muiriel is 20 now.,Muriel is 20.,အခု Muiriel က အသက် ၂၀ ရှိပါပြီ။,.مۇريال ئەمدى 20 ياشقا كىردى,Muirjo estas dudekjara.
4,1283,"The password is ""Muiriel"".","The password is ""Muiriel"".","Pasahitza ""Muiriel"" da.","The password is ""Muriel"".",The password is  Muiriel.,"စကားဝှက်က ""Muiriel"" ပါ။ စကားဝှက်က ""Muiriel"" ပါ။ စကားဝှက်က ""Muiriel"" ပါ။","La palabra clave es ""Muiriel"".La palabra clave es ""Muiriel"".La palabra clave es ""Muiriel"".","စကားဝှက်က ""Muiriel"" ပါ","비밀번호는 ""무리엘""입니다.","The password is ""Muiriel"".",Пароль Muiriel.,"The password is ""Muiriel"".",".ماڭا مەخپى نۇسخىسى: ""مۇرىيال"". مەخپى نۇسخىسى: ""مۇرىيال"".","La pasvorto estas ""Muiriel""."
5,1284,I will be back soon.,I'll be back soon.,Berehala itzuliko naiz.,.مەن يەنە بىر قېتىم كېلىدۇ..مەن يەنە بىر قېتىم كېلىدۇ..مەن يەنە بىر قېتىم كېلىدۇ..مەن يەنە بىر قېتىم كېلىدۇ..مەن يەنە بىر قېتىم كېلىدۇ.,.مەن بىر مىنۇتتىن كېيىن يەنە قايتىپ كېلىمەن.مەن يەنە بىر مىنۇتتىن كېيىن قايتىپ كېلىمەن,.مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن..مەن تېز كېتىمەن.,"Je reviendrai tout de suite, je reviendrai tout de suite.",.مەن ھازىرلا قايتىپ كېلىمەن.مەن ھازىرلا قايتىپ كېلىمەن.مەن ھازىرلا قايتىپ كېلىمەن.مەن ھازىرلا قايتىپ كېلىمەن.مەن ھازىرلا قايتىپ كېلىمەن.مەن ھازىرلا قايتىپ كېلىمەن,Mi tuj revenos. Mi tuj revenos. Mi tuj revenos. Mi tuj revenos. Mi tuj revenos.,I'll be right back. I'll be right back.,.يولدا يەنە بىر قېتىم تۇرايلى,I'll be back soon. I'll be back soon.,.يەنە مەن يەنە قايتىپ كېلىمەن,.مەن قايتىمەن.مەن قايتىمەن.مەن قايتىمەن.مەن قايتىمەن.مەن قايتىمەن
6,1286,I'm at a loss for words.,I don't know what to say.,I don't have words for it. I'm running out of words.,.سۆزلەرنى تاپالمىدىم..مەن نېمىنى دېسەم دەيمەن..مەن سۆزلىيەلمىدىم..مەن سۆزلىيەلمىدىم..مەن سۆزلىيەلمەيمەن..مەن سۆزلىيەلمەيمەن..مەن سۆزلىيەلمەيمەن..مەن نېمىنى دېسەم دەيمەن..مەن نېمىنى دېسەم دەيمەن..مەن نېمىنى دېسەم دەيمەن..مەن نېمىنى دېسەم دەيمەن..مەن نېمىنى دېسەم دەيمەن..مەن نېمىنى دېسەم دەيمەن.,.مېنىڭ سۆزلىرىم يوق بولدى. سۆزلىرىم يوق بولدى. سۆزلىرىم يوق بولدى.,.سۆزلەر يوق، سۆزلەر يوق، نېمە دېسەم بولارلىقىنى بىلەلمىدىم، سۆزلىرىم يوق,Je n'ai pas les mots. Je ne sais pas quoi dire. Je ne sais pas quoi dire. Je ne sais pas quoi dire. Je ne sais pas quoi dire.,.سۆزلەر يوق، سۆزلەر يوق,제가 무슨 말을 해야 할지 모르겠어요. 저는 말들로 가득 차 있습니다.,Ez dut hitzik.,.مېنىڭچە بۇ يەردە گەپ قىلالمىدىم,I don't have words. I don't know what to say.,.سۆزۈمگە كەلمەيدۇ، سۆزۈمگە كەلمەيدۇ، نېمە دېمەكچى بولغىنىمنى بىلمەيمەن,.سۆزلەر يوق، مەن نېمە دېمەكچى. سۆزلەرنى تاپالمىدىم..مەن نېمە دېمەكچىمۇ بىلمەيمەن.
7,1287,This is never going to end.,It's never over. It's going to go on forever.,This is never going to end. This is never going to end.,Tio neniam finiĝos. Tio neniam finiĝos. Tio neniam finiĝos.,.ئۇ مەڭگۈ قالمايدۇ. بۇ مەڭگۈ قالمايدۇ. بۇ مەڭگۈ قالمايدۇ,.ئۇ مەڭگۈ قالىدۇ. مەڭگۈ قالىدۇ. مەڭگۈ قالىدۇ. مەڭگۈ قالىدۇ. مەڭگۈ قالىدۇ.,Cela ne cessera jamais.,.بۇ ھەرگىزمۇ تۈگىمەيدۇ,- 안 돼,This is never gonna end.,.ئۇ مەڭگۈ قالمايدۇ,.بۇ ھەرگىزمۇ ئاخىر بولمايدۇ. بۇ ھەرگىزمۇ ئاخىر بولمايدۇ. بۇ ھەرگىزمۇ ئاخىر بولمايدۇ.,It's never going to end.,Ez da inoiz amaituko.
8,1288,I just don't know what to say.,I just don't know what to say... I just don't know what to say.,I just don't know what to say... I just don't know what to say...,Ez dakit zer esan. Ez dakit zer esan. Ez dakit zer esan.,-- مەن پەقەت نېمە دېمەكچى... -- مەن پەقەت نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى، نېمە دېمەكچى،,I just don't know what to say.,Je ne sais pas quoi dire. Je ne sais tout simplement pas quoi dire. Je ne sais tout simplement pas quoi dire.,-- مەن ھەقىقەتەن نېمە دېمەكچى بولغىنىمنى بىلمەيمەن. -- مەن پەقەت نېمە دېمەكچى بولغىنىمنى بىلمەيمەن. -- مەن پەقەت نېمە دېمەكچى بولغىنىمنى بىلمەيمەن. -- مەن پەقەت نېمە دېمەكچى بولغىنىمنى بىلمەيمەن.,제가 무슨 말을 해야 할까요?,I just don't know what to say. I just don't know what to say...,-- مەن نېمىنى دېيىشنى بىلەلمەيۋاتىمەن، ئۆزۈمنى ھەتتا نېمە دېيىشنى بىلەلمەيۋاتىمەن، ئۆزۈمنى پەقەت شۇنى بىلەلمەيۋاتىمەن,-- مەن پەقەت نېمە دېمەكچى... -- مەن پەقەت نېمە دېمەكچى ئىكەنلىكىنى بىلەلمەيۋاتىمەن,.مەن تېخى نېمە دېمەكچى بولغىنىمنى بىلمەيمەن.مەن تېخى نېمە دېمەكچى بولغىنىمنى بىلمەيمەن,Ez dakit zer esan. Ez dakit zer esan.
10,1290,I was in the mountains.,I used to be in the mountains.,I was in the mountains.,Mendietan nengoen.,.مېنىڭ تېغىدا تۇرغانلىقىمغا، مەن تېغىدا تۇرغانلىقىمغا، مەن تېغىدا تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، مەن تاغلارنىڭ ئىچىدە تۇرغانلىقىمغا، ناھايىتى خۇشاللىقىمغا، ناھايىتى مېھرىبان االله نى كۆركەم، مېھرىبان االله نى كۆركەم,Mendian izan nintzen.,J'étais dans les montagnes. - Je suis dans les montagnes. - J'étais dans les montagnes.,.مەن تاغدا ئىدىم، مېنىڭ تاغلىرىمدا ئىدىم,Mi estis en la monto.,I was in the mountains.,.مېنىڭ تېغىمدا بارغىنىم يوق,I was in the mountains.,I was in the mountains.,Mi estis en la montoj.
11,1291,Is it a recent picture?,Is that a close-up?,Ĉu tiu ĉi estas lasta foto?,Ĉu ĝi estas nova foto? Ĉu ĝi estas nova foto?,بۇ يېقىندا تارتىلغان رەسىممۇ؟,Ĉu tio estas aktuala foto?,Est-ce une nouvelle photo?,-- بۇ بىر يېڭى سۈرەتمۇ؟ -- بۇ يېڭى سۈرەتمۇ؟ -- بۇ يېڭى سۈرەتمۇ؟,-Aurrezko argazkia da?,Is this a current photo?,بۇ يېڭى رەسىممۇ؟ بۇ يېقىندىلا تارتىلغان رەسىممۇ؟ بۇ تازا سۈرەتمۇ؟,Is that a recent photo?,-- بۇ رەسىملەرنىڭ ئىچىدىكى ئەڭ يېڭى رەسىملەرنى سىزىپتۇغۇ؟,Ĉu tiu estas la lasta foto?
12,1292,I don't know if I have the time.,I don't know if I have time.,I don't know if I have time. I don't know if I have time for that.,I don't know if I have time for that.,I don't know if I have time.,I don't know if I have time. I don't know if I have time.,Je ne sais pas si j'ai le temps. Je ne sais pas si j'ai le temps pour ça. Je ne sais pas si j'ai le temps. Je ne sais pas si j'ai le temps pour ça. Je ne sais pas si j'ai le temps.,I don't know if I have time.,시간이 있는지 모르겠어요.,I don't know if I have time.,.مەندە ۋاقىتمۇ-يوقمۇ يوق، بىلمەيمەن,I don't know if I have time.,I don't know if I have time.,.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ-يوقمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق.مەندە ۋاقىتمۇ يوق
