,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
1,1277,I have to go to sleep.,Je dois aller dormir. | Il faut que j'aille dormir.,Ich muss jetzt schlafen. | Ich muss schlafen.,私は寝る必要があります. | 私は מוכרח ללכת寝る.,Devo andare a dormire. | Io devo andare a dormire.,I must sleepらなければなりません. | そろそろ寝なくちゃ. | 寝なきゃ.,I should go to sleep了. | I must sleep了.,Muszę iść spać.
3,1282,Muiriel is 20 now.,Muiriel je už 20 let.,മുയriel ist jetzt 20.,இவருக்கு 20 வயது. | இவருக்கு 20 வயது.,Muiriel má 20 let adesso. | Muiriel má 20 let ora. | Muiriel má vent'anni ora. | Muiriel má vent'anni adesso.,"ムーリエルは20歳になりました。 | Now,ムーリイエルは20歳だ。",穆里埃尔现在20岁了。,Muiriel má teď 20 let.
4,1283,"The password is ""Muiriel"".",Le mot de passe est « Muiriel ».,"Das Passwort ist ""Muiriel"". | Das Passwort lautet ""Muiriel"". | Das Kennwort lautet ""Muiriel"".","இத்திரைப்படம் ""Muiriel"". | הסיסמה - ""מיוריאל"". | הסיסמה - ""Muiriel"".",| パスワードは「Muiriel」。,"Your password is ""Muiriel"".",パスワードは「Muiriel」 | パスワードは「Muiriel」。,Hasło brzmi „Muiriel”. | Hasło do „Muiriel”.
5,1284,I will be back soon.,我很快就会回来的。 我一分钟后就会回来的。,මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්.,ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්න.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,I'll be right back. | まもなく私は戻って来ます。 | すぐ戻ります。 | すぐ戻ってきます。 | すぐ戻るよ。 | すぐ戻る。,I'll be back soon.,Zaraz se vracím. | Niedługo wrócę. | Zaraz wrócę.
6,1286,I'm at a loss for words.,Ztratil jsem slova. | Slova mi chybí. | Nenašel jsem slova. | Slova mi chybí.,"Ich finde keine Worte. | Mir fehlen die Worte. | Ich weiß nicht, was ich soll sagen. | Ich bin sprachlos.","Nemám slova. | Nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct.",Sono a corto di parole. | Sono senza parole. | Io sono senza parole.,I don't know what I said. | I was stuck in words. | I was lost in words.,I don't know what to say.,Brak mi słów.
7,1287,This is never going to end.,| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |,To nebude nie enden. | Es nimmt kein Ende. | Das hört nie auf! | Das hört nie auf.,یہ לעולם ختم نہیں کریں گے.,Tohle nikdy nekončí. | Tohle nikdy nekončí.,きりがない.,这个永远无法结束。 | 这将永远继续下去。 | 这个永远无法结束。,ముగింపు ఎప్పటికీ.
8,1288,I just don't know what to say.,"Je ne sais simplement pas quoi dire... | Je ne sais pas quoi dire, tout simplement. | Je ne sais quoi dire. | Je ne sais pas quoi dire.","Já prostě nicht weiß, was ich sagen soll.","Já prostě nevím, co říct. Já prostě nevím, co říct. Já prostě nevím, co říct.",Ne tak proprio cosa dire. | Semplicemente non so che dire. | Semplicemente non so che cosa dire. | Semplicemente non so cosa dire. | Non so semplicemente cosa dire.,何と言ったらいいか・・・ | 何とも言いようがないなあ.,I just don't know what to say... | I just don't know what to say.,"Po prostu nie wiem, co powiedzieć. | Zwyczajnie nie wiem, co powiedzieć..."
10,1290,I was in the mountains.,Byla jsem v horách. | Byla jsem v horách. | Byla jsem na horách.,Ich war im Krieg in den Bergen.,Byla jsem v horách. | שהיתי בהרים. | Já byla v horách.,Ero in montagna. | Io ero in montagna.,I was in the mountains.,මම කලින්山里.,Byłem w górach.
11,1291,Is it a recent picture?,Est-ce que c'est une photo récente? | Est-ce une photo récente?,Ist das ein aktuelles Foto?,To je nová fotka?,Je to nedávná fotografie? | Je to nedávná fotografie? | Je to nedávná fotka?,那是最近的照片吗?,ඒක一张近照ද?,Czy aktualne zdjęcie?
12,1292,I don't know if I have the time.,Je ne sais pas si j'ai le temps.,"Nevím, jestli mám čas na to. | Nevím, jestli mám čas. | Nevím, jestli mám čas. | Nevím, jestli mám čas.","Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas na to.",నాన్ సో se ho tempo.,時間があるか分からない。,I don't know if I have time.,"Nie wiem, czy mam czas."
