,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
1,1277,I have to go to sleep.,Je dois aller dormir. | Il faut que j'aille dormir.,Ich muss jetzt schlafen. | Ich muss schlafen.,私は寝る必要があります. | 私は מוכרח ללכת寝る.,Devo andare a dormire. | Io devo andare a dormire.,I must sleepらなければなりません. | そろそろ寝なくちゃ. | 寝なきゃ.,I should go to sleep了. | I must sleep了.,Muszę iść spać.,preciso ir dormir. | Tenho que ir dormir. | Preciso dormir. | Tenho de dormir. | Tenho de ir para cama. | Eu tenho de ir dormir.
3,1282,Muiriel is 20 now.,Muiriel je už 20 let.,മുയriel ist jetzt 20.,இவருக்கு 20 வயது. | இவருக்கு 20 வயது.,Muiriel má 20 let adesso. | Muiriel má 20 let ora. | Muiriel má vent'anni ora. | Muiriel má vent'anni adesso.,"ムーリエルは20歳になりました。 | Now,ムーリイエルは20歳だ。",穆里埃尔现在20岁了。,Muiriel má teď 20 let.,Muriel completou 20 anos. | Muiriel tem 20 anos agora. | Agora Muiriel tem 20 anos. | Muriel tem 20 anos agora. | A Muriel está com 20 anos agora. | A Muiriel fez 20 anos agora.
4,1283,"The password is ""Muiriel"".",Le mot de passe est « Muiriel ».,"Das Passwort ist ""Muiriel"". | Das Passwort lautet ""Muiriel"". | Das Kennwort lautet ""Muiriel"".","இத்திரைப்படம் ""Muiriel"". | הסיסמה - ""מיוריאל"". | הסיסמה - ""Muiriel"".",| パスワードは「Muiriel」。,"Your password is ""Muiriel"".",パスワードは「Muiriel」 | パスワードは「Muiriel」。,Hasło brzmi „Muiriel”. | Hasło do „Muiriel”.,"A senha é ""Muiriel"". | A senha é ''Muiriel''."
5,1284,I will be back soon.,我很快就会回来的。 我一分钟后就会回来的。,මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්.,ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්න.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,I'll be right back. | まもなく私は戻って来ます。 | すぐ戻ります。 | すぐ戻ってきます。 | すぐ戻るよ。 | すぐ戻る。,I'll be back soon.,Zaraz se vracím. | Niedługo wrócę. | Zaraz wrócę.,Voltarei em breve. | Volto logo. | Já volto. | Volto já. | Voltarei logo. | Estarei de volta logo. | Eu voltarei em breve.
6,1286,I'm at a loss for words.,Ztratil jsem slova. | Slova mi chybí. | Nenašel jsem slova. | Slova mi chybí.,"Ich finde keine Worte. | Mir fehlen die Worte. | Ich weiß nicht, was ich soll sagen. | Ich bin sprachlos.","Nemám slova. | Nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct.",Sono a corto di parole. | Sono senza parole. | Io sono senza parole.,I don't know what I said. | I was stuck in words. | I was lost in words.,I don't know what to say.,Brak mi słów.,Não tenho palavras.
7,1287,This is never going to end.,| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |,To nebude nie enden. | Es nimmt kein Ende. | Das hört nie auf! | Das hört nie auf.,یہ לעולם ختم نہیں کریں گے.,Tohle nikdy nekončí. | Tohle nikdy nekončí.,きりがない.,这个永远无法结束。 | 这将永远继续下去。 | 这个永远无法结束。,ముగింపు ఎప్పటికీ.,To nikdy nekončí. | To nikdy nekončí ter fim. | To nikdy nekončí nikdy. | To nikdy nekončí nikdy. | To nikdy nekončí nikdy. | To nikdy nekončí. | To nikdy nekončí. | To nikdy nekončí.
8,1288,I just don't know what to say.,"Je ne sais simplement pas quoi dire... | Je ne sais pas quoi dire, tout simplement. | Je ne sais quoi dire. | Je ne sais pas quoi dire.","Já prostě nicht weiß, was ich sagen soll.","Já prostě nevím, co říct. Já prostě nevím, co říct. Já prostě nevím, co říct.",Ne tak proprio cosa dire. | Semplicemente non so che dire. | Semplicemente non so che cosa dire. | Semplicemente non so cosa dire. | Non so semplicemente cosa dire.,何と言ったらいいか・・・ | 何とも言いようがないなあ.,I just don't know what to say... | I just don't know what to say.,"Po prostu nie wiem, co powiedzieć. | Zwyczajnie nie wiem, co powiedzieć...",I simply não sei o que dizer... | Simplesmente não sei o que dizer.
10,1290,I was in the mountains.,Byla jsem v horách. | Byla jsem v horách. | Byla jsem na horách.,Ich war im Krieg in den Bergen.,Byla jsem v horách. | שהיתי בהרים. | Já byla v horách.,Ero in montagna. | Io ero in montagna.,I was in the mountains.,මම කලින්山里.,Byłem w górach.,Eu estava nas mountains.
11,1291,Is it a recent picture?,Est-ce que c'est une photo récente? | Est-ce une photo récente?,Ist das ein aktuelles Foto?,To je nová fotka?,Je to nedávná fotografie? | Je to nedávná fotografie? | Je to nedávná fotka?,那是最近的照片吗?,ඒක一张近照ද?,Czy aktualne zdjęcie?,É uma foto recente?
12,1292,I don't know if I have the time.,Je ne sais pas si j'ai le temps.,"Nevím, jestli mám čas na to. | Nevím, jestli mám čas. | Nevím, jestli mám čas. | Nevím, jestli mám čas.","Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas na to.",నాన్ సో se ho tempo.,時間があるか分からない。,I don't know if I have time.,"Nie wiem, czy mam czas.",Não sei se tenho tempo.
14,1295,You're in better shape than I am.,Tu es en meilleure forme que moi. | Vous êtes en meilleure forme que moi.,Du bist besser in Form als ich.,Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku?,"”“你比我多,你比我多,你比我多,你比我多,你比我多,你比我多,你比我多,它比我多,她比我多。",You're in a better position than me.,ඔයාගේ体型比我的好.,You are in betterj formie than ja.,"""நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள்."
15,1296,You are in my way.,Tu es sur mon chemin. | Vous êtes sur mon chemin. | Vous vous trouvez en travers de mon chemin. | Tu te trouves en travers de mon chemin.,Du bist mir im Weg.,ඔයා මට බාධා කරනවා!,Sei dalla mia parte.,君は私の邪魔をしている。 | あなたは私の邪魔をしています。,ඔයා挡住了 මගේ පාර.,Stoisz mi na drodze.,"""நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. உனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே."
16,1298,This will cost €30.,Ça coûtera 30 €. | Ça va faire 30 euros.,Das wird 30 € kosten.,To bude stát 30 eur. | To bude stát 30 eur. | To by mělo stát 30 eur. | To bude stát 30 eur.,| Questo costerà 30 €. | Questa costerà 30 €.,30ユーロになります.,இது 30 கி.மீ.,To będzie kosztowało €30.,Vai custar €30. | Isso irá custar 30 euros.
17,1299,I make €100 a day.,Je gagne 100 € par jour. | Je gagne cent euros par jour.,Ich verdiene 100 Euro pro Tag.,Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den.,Guadagno 100 euro al giorno. | Guadagno 100€ al giorno. | Io guadagno 100€ al giorno. | Io guadagno 100 euro al giorno. | Guadagno cento euro al giorno. | Io guadagno cento euro al giorno. | Io guadagno cento euro al giorno.,I earn 100 Euros a day.,My Day Makes One Hundred Euros | My Day Makes One Hundred Euros,Zarabiam € 100 dziennie.,Eu ganho € 100 por dia.
20,1302,That won't happen.,| Cela ne se produira pas. | Cela ne se produira pas.,Das wird nicht passieren. | Dazu kommt es nicht. | Das wird nicht ereignen. | Das wird nicht geschehen. | Das kommt nicht vor.,それは起こらない。 | 状況.,To se nestane. | To se nestane. | To se nestane.,そんなことは起こらないでしょう。,That won't happen的.,അത് സംഭവിക്കില്ല.,To não va acontecer. | To não acontecerá.
22,1304,I'll do my best not to disturb your studying.,Je ferai de mon mieux pour ne pas perturber tes révisions.,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.",| アשתדל לא להפריע לך בלימודיך.,Farò del mio meglio per non disturbare il tuo studio.,Do not interfere with your study.,I'll try not to disturb you review.,Postaram się Ci nie przeszkadzać w nauce.,मैं अपने अध्ययनों के लिए अपने दिमाग को बेहतर बनाऊँगा।
