,index,english,translated_from_finnish,translated_from_dutch,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
0,1277,I have to go to sleep.,Minun musí jít nukkumaan. | Minun on mentävä nukkumaan. | Minun pitää jít nukkumaan.,I have to go to sleep.,Je dois aller dormir. | Il faut que j'aille dormir.,Ich muss jetzt schlafen. | Ich muss schlafen.,私は寝る必要があります. | 私は מוכרח ללכת寝る.,Devo andare a dormire. | Io devo andare a dormire.,I must sleepらなければなりません. | そろそろ寝なくちゃ. | 寝なきゃ.,I should go to sleep了. | I must sleep了.,Muszę iść spać.,preciso ir dormir. | Tenho que ir dormir. | Preciso dormir. | Tenho de dormir. | Tenho de ir para cama. | Eu tenho de ir dormir.,මට пора යන්න නිදාගන්න. | Я должен ложиться спать. | Мне нужно jít නිදාගන්න. | Я должна ложиться спать.,Tengo que irme a dormir. | Voy a dormir. | Debo ir a dormir. | Tengo que ir a dormir.,Yatmaya gitmek zorundayım. | Uyumam lazım.,Я хочу спать. | Я хочу спать.
1,1282,Muiriel is 20 now.,இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில்,Muiriel is now 20 years old.,Muiriel je už 20 let.,മുയriel ist jetzt 20.,இவருக்கு 20 வயது. | இவருக்கு 20 வயது.,Muiriel má 20 let adesso. | Muiriel má 20 let ora. | Muiriel má vent'anni ora. | Muiriel má vent'anni adesso.,"ムーリエルは20歳になりました。 | Now,ムーリイエルは20歳だ。",穆里埃尔现在20岁了。,Muiriel má teď 20 let.,Muriel completou 20 anos. | Muiriel tem 20 anos agora. | Agora Muiriel tem 20 anos. | Muriel tem 20 anos agora. | A Muriel está com 20 anos agora. | A Muiriel fez 20 anos agora.,Мюриэл сейчас 20.,"Now, Muiriel tiene 20 años. | Muiriel tiene 20 años ahora.",Muiriel now 20 years. | Muiriel now 20.,பாலின விகிதம் 20 ஆண்களுக்கு 20 பெண்கள் வீதம் உள்ளனர்.
2,1283,"The password is ""Muiriel"".","Salasana auf ""Muiriel"". | Se Salasana auf ""Muiriel"".","The password is ""Muiriel.""",Le mot de passe est « Muiriel ».,"Das Passwort ist ""Muiriel"". | Das Passwort lautet ""Muiriel"". | Das Kennwort lautet ""Muiriel"".","இத்திரைப்படம் ""Muiriel"". | הסיסמה - ""מיוריאל"". | הסיסמה - ""Muiriel"".",| パスワードは「Muiriel」。,"Your password is ""Muiriel"".",パスワードは「Muiriel」 | パスワードは「Muiriel」。,Hasło brzmi „Muiriel”. | Hasło do „Muiriel”.,"A senha é ""Muiriel"". | A senha é ''Muiriel''.",Пароль «Muiriel».,"La password es ""Muiriel"".",^ a b c d d e f g “Muiriel”. “Muiriel”. パロラ “Muiriel”. | Şifre “Muiriel” dir.,Пароль — «Мюріель». | Пароль — «Мюріель».
3,1284,I will be back soon.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்:,I'm so back.,我很快就会回来的。 我一分钟后就会回来的。,මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්. මම ඉක්මනට ආපහු එන්නම්.,ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්නම්. ඉක්මනට ආපහු එන්න.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,I'll be right back. | まもなく私は戻って来ます。 | すぐ戻ります。 | すぐ戻ってきます。 | すぐ戻るよ。 | すぐ戻る。,I'll be back soon.,Zaraz se vracím. | Niedługo wrócę. | Zaraz wrócę.,Voltarei em breve. | Volto logo. | Já volto. | Volto já. | Voltarei logo. | Estarei de volta logo. | Eu voltarei em breve.,මම ඉක්මනට ආපහු එන්නම්.,Volveré pronto. | Vuelvo en seguida. | Yo regresaré pronto.,Brzy se vrátím. | Brzy se vrátím.,Я скоро повернуся. | Незабаром повернуся. | Я хутко повернусь. | Скоро повернуся. | Я зараз повернуся.
4,1286,I'm at a loss for words.,"Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал.",I don't have words for it. | Words scare me.,Ztratil jsem slova. | Slova mi chybí. | Nenašel jsem slova. | Slova mi chybí.,"Ich finde keine Worte. | Mir fehlen die Worte. | Ich weiß nicht, was ich soll sagen. | Ich bin sprachlos.","Nemám slova. | Nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct. | Já nevím, co říct.",Sono a corto di parole. | Sono senza parole. | Io sono senza parole.,I don't know what I said. | I was stuck in words. | I was lost in words.,I don't know what to say.,Brak mi słów.,Não tenho palavras.,У меня нет слов. | Я не могу подобрать слова.,Ne tengo palabras. | No sé qué decir. | Me faltan las palabras.,Diyecek söz bulamıyorum. | Söyecek söz bulamıyorum. | Ne diyeceki bilemiyorum.,I don't know what to say. | I don't know what to say. | I don't know what to say. | I don't know what to say. | I can't find words. | I don't even know what to say. | I don't know what to say.
5,1287,This is never going to end.,මේක කවදාවත්ම ඉවරයක් වෙන්නෙ නෑ. මේක කවදාවත්ම ඉවර වෙන්නෙ නෑ.,This is never going to end. | This is never going to end.,| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |,To nebude nie enden. | Es nimmt kein Ende. | Das hört nie auf! | Das hört nie auf.,یہ לעולם ختم نہیں کریں گے.,Tohle nikdy nekončí. | Tohle nikdy nekončí.,きりがない.,这个永远无法结束。 | 这将永远继续下去。 | 这个永远无法结束。,ముగింపు ఎప్పటికీ.,To nikdy nekončí. | To nikdy nekončí ter fim. | To nikdy nekončí nikdy. | To nikdy nekončí nikdy. | To nikdy nekončí nikdy. | To nikdy nekončí. | To nikdy nekončí. | To nikdy nekončí.,Это никогда не закончится. | Это никогда не кончится.,"”“我永远不会结束,永远不会结束,永远不会结束,永远不会结束。",Bu sonuna kadar asla gitmez. | Bu asla bitmeyecek.,Це никогда не скінчиться.
6,1288,I just don't know what to say.,"Já vím, co říkám. Já vím, co říkám. Já vím, co říkám.",I just don't know what to say. | I just don't know what to say.,"Je ne sais simplement pas quoi dire... | Je ne sais pas quoi dire, tout simplement. | Je ne sais quoi dire. | Je ne sais pas quoi dire.","Já prostě nicht weiß, was ich sagen soll.","Já prostě nevím, co říct. Já prostě nevím, co říct. Já prostě nevím, co říct.",Ne tak proprio cosa dire. | Semplicemente non so che dire. | Semplicemente non so che cosa dire. | Semplicemente non so cosa dire. | Non so semplicemente cosa dire.,何と言ったらいいか・・・ | 何とも言いようがないなあ.,I just don't know what to say... | I just don't know what to say.,"Po prostu nie wiem, co powiedzieć. | Zwyczajnie nie wiem, co powiedzieć...",I simply não sei o que dizer... | Simplesmente não sei o que dizer.,"Не знаю, что и сказать. | Я даже не знаю, что сказать... | Я просто не знаю, что сказать.",単純にいいえ、いいえ、いいえ、いいえ、いいえ... | 単純にいいえ、いいえ、いいえ、いいえ... | 単純にいいえ、いいえ、いいえ、いいえ。,"Bene, ještě nevím co řeknu, nevím co řeknu. Jen nevím co řeknu.","I just и не знаю, что сказати. | Я не знаю, что и сказати. | Я даже не знаю, что сказати..."
7,1290,I was in the mountains.,Byl vuorilla. | Já olin vuorilla.,I was in the mountains.,Byla jsem v horách. | Byla jsem v horách. | Byla jsem na horách.,Ich war im Krieg in den Bergen.,Byla jsem v horách. | שהיתי בהרים. | Já byla v horách.,Ero in montagna. | Io ero in montagna.,I was in the mountains.,මම කලින්山里.,Byłem w górach.,Eu estava nas mountains.,Я был в горах. | Я был в горах.,Yo estaba en las montañas.,බෙන් dağlardaydım.,Я был в горах. | Я була в горах.
8,1291,Is it a recent picture?,Is there a new photo? | Is there a new photo?,Is this a recent picture?,Est-ce que c'est une photo récente? | Est-ce une photo récente?,Ist das ein aktuelles Foto?,To je nová fotka?,Je to nedávná fotografie? | Je to nedávná fotografie? | Je to nedávná fotka?,那是最近的照片吗?,ඒක一张近照ද?,Czy aktualne zdjęcie?,É uma foto recente?,Это новая фотография? | Это недавняяя фотография? | Это свежая фотография?,Je to una foto reciente?,O yeni bir resim mi? | Bu yeni çekilmiş bir resim mi? | Bu fotoğraf yeni çekim mi?,Це недавнє фото?
9,1292,I don't know if I have the time.,| En tiedä onko minulla tiempo. | En tiedä onko minulla tiempo.,I don't know if I have time. | I don't know if I have time for that.,Je ne sais pas si j'ai le temps.,"Nevím, jestli mám čas na to. | Nevím, jestli mám čas. | Nevím, jestli mám čas. | Nevím, jestli mám čas.","Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas. Já nevím, jestli mám čas na to. Já nevím, jestli mám čas na to.",నాన్ సో se ho tempo.,時間があるか分からない。,I don't know if I have time.,"Nie wiem, czy mam czas.",Não sei se tenho tempo.,"Я не знаю, есть ли у меня время. — Не знаю, будет ли у меня время.",No sé si tengo tempo.,Zamanım olup olup olup olmadığını എനിക്കറിയില്ല.,"Не знаю, чи буде в мене час. | Я не знаю, чи буде в мене час. | Не знаю, чи матиму час. | Я не знаю, чи маю час. | Я не знаю, чи буде у меня час."
