,english,translated_from_dutch
1,I have to go to sleep.,I have to go to sleep.
3,Muiriel is 20 now.,Muiriel is now 20 years old.
4,"The password is ""Muiriel"".","The password is ""Muiriel."""
5,I will be back soon.,I'm so back.
6,I'm at a loss for words.,I don't have words for it. | Words scare me.
7,This is never going to end.,This is never going to end. | This is never going to end.
8,I just don't know what to say.,I just don't know what to say. | I just don't know what to say.
10,I was in the mountains.,I was in the mountains.
11,Is it a recent picture?,Is this a recent picture?
12,I don't know if I have the time.,I don't know if I have time. | I don't know if I have time for that.
14,You're in better shape than I am.,You're in a better condition than I am.
15,You are in my way.,You're in the way. | You're in the way of me.
16,This will cost €30.,That's going to cost 30 bucks.
17,I make €100 a day.,I earn 100 dollars a day.
20,That won't happen.,That won't happen. | That won't happen.
22,I'll do my best not to disturb your studying.,I'm going to try not to bother you learning. | I'm going to do my best not to bother you studying.
25,I miss you.,I miss you.
26,I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back. | I'll call them tomorrow when I get back.
28,You should sleep.,You should sleep. | You should sleep better.
29,I'm going to go.,I'm going.
30,I told them to send me another ticket.,I told them to send me a new ticket. | I told them to send me another ticket.
33,I once wanted to be an astrophysicist.,I used to want to be an astrophysicist.
34,I never liked biology.,I never loved biology.
35,The last person I told my idea to thought I was nuts.,The previous person I talked to thought I was crazy.
37,It is unfortunately true.,"Unfortunately, it's true."
39,Most people think I'm crazy.,Most people think I'm crazy.
42,He's kicking me!,He's kicking me!
43,Are you sure?,Are you sure? | Are you sure? | Are you sure? | Are you sure?
45,"Oh, there's a butterfly!","Oh, there's a butterfly!"
46,Hurry up.,Go ahead! | Go ahead. | Go ahead. | Go ahead! | Go ahead!
47,It doesn't surprise me.,It doesn't surprise me.
49,It depends on the context.,It depends on the context.
51,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.
53,"When I grow up, I want to be a king.","When I grow up, I want to be a king."
56,So what?,"So? | And? | Well, what?"
61,I've always wondered what it'd be like to have siblings.,I've always wondered what it would be like to have brothers and sisters.
63,It would take forever for me to explain everything.,I need an eternity to explain everything. | I would have an eternity to explain everything.
64,That's because you're a girl.,That's because you're a girl.
79,I thought you liked to learn new things.,I thought you liked to learn new things.
80,Most people write about their daily life.,Most people write about their day-to-day lives.
82,"In order to do that, you have to take risks.","And to do that, you have to take risks."
84,Why do you ask?,Why do you ask that? | Why do you ask that? | Why do you ask that?
89,How long did you stay?,How long have you been here?
95,That is intriguing.,That makes you curious.
102,I didn't like it.,I didn't like it.
111,I have to go to bed.,I have to go to bed. | I have to go to bed.
118,That wasn't my intention.,That wasn't my intention.
119,Thanks for your explanation.,Thank you for explaining.
123,I don't know what you mean.,I don't know what you're talking about.
132,I need to ask you a silly question.,I have to ask you a stupid question.
136,No one will know.,Nobody's going to find out.
138,It seems interesting to me.,I think that's interesting.
140,I like candlelight.,I love candlelight.
149,I love you.,I love you. | I love you. | I love you! | I love you! | I love you. | I love you.
151,I am curious.,I'm curious.
152,Congratulations!,Congratulations. | Well done! | Congratulations! | Chapeau! | Bravo! | Respect! | Goodbye!
153,I don't want to wait that long.,I don't want to wait that long.
154,Why don't you come visit us?,Why don't you come and visit us?
159,I hate chemistry.,I hate chemistry.
165,I have nothing better to do.,I have nothing better to do.
166,I can't explain it either.,I can't explain either. | I can't explain either.
167,Everyone has strengths and weaknesses.,Everybody has their strengths and weaknesses.
172,I don't know if I still have it.,I don't know if I have it yet.
174,Don't underestimate my power.,Don't underestimate my power. | Don't underestimate my power
175,My mom doesn't speak English very well.,My mother doesn't speak English very well.
181,Everyone wants to meet you. You're famous!,"Everybody wants to meet you, you're famous! | Everybody wants to meet you, you're famous! | Everybody wants to meet you, you're famous!"
