,index,english,translated_from_finnish
1,1277,I have to go to sleep.,Minun musí jít nukkumaan. | Minun on mentävä nukkumaan. | Minun pitää jít nukkumaan.
3,1282,Muiriel is 20 now.,இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில் இசுலாமிய மொழியில்
4,1283,"The password is ""Muiriel"".","Salasana auf ""Muiriel"". | Se Salasana auf ""Muiriel""."
5,1284,I will be back soon.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்:
6,1286,I'm at a loss for words.,"Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал. Я знаю, что сказал."
7,1287,This is never going to end.,මේක කවදාවත්ම ඉවරයක් වෙන්නෙ නෑ. මේක කවදාවත්ම ඉවර වෙන්නෙ නෑ.
8,1288,I just don't know what to say.,"Já vím, co říkám. Já vím, co říkám. Já vím, co říkám."
10,1290,I was in the mountains.,Byl vuorilla. | Já olin vuorilla.
11,1291,Is it a recent picture?,Is there a new photo? | Is there a new photo?
12,1292,I don't know if I have the time.,| En tiedä onko minulla tiempo. | En tiedä onko minulla tiempo.
14,1295,You're in better shape than I am.,ඔයා මට වඩා හොදින් ඉන්නවා.
15,1296,You are in my way.,Olet tielläni.
16,1298,This will cost €30.,Tohle platí třicet eur.
